L.p.,Sex,Age_2,Man_nman,Av_1,Dst_2,Cst_3,Av_4,Av_5,Dst_6,Dst_7,Cst_8,Dst_9,Dst_10,Av_11,Av_12,Cst_13,Pas_14,Av_15,Dst_16,Av_17,Dst_18,Cst_19,Cst_20,Pas_21,Cst_22,Dst_23,Pas_24,Av_25,Cst_26,Pas_27,Pas_28,Pas_29,Dst_30,Pas_31,Av_Pass,ConstrB,DestrB,AnxEm,HappEm,DejEm,AngerEm
2883,0,1,0,2,1,3,1,2,1,1,2,1,1,1,1,3,2,2,1,2,1,3,3,2,3,1,1,2,3,1,1,2,1,1,1.625,2.857143,1,1.13,2.71,1.2,1
2884,1,3,1,1,1,3,1,2,1,1,3,1,1,2,3,3,1,2,1,1,1,3,4,2,3,1,1,1,4,1,1,1,1,1,1.625,3.285714,1,2.63,2.86,1.2,1.75
2885,0,2,0,1,1,3,1,1,1,1,3,1,1,1,3,4,1,1,2,2,1,3,4,1,3,1,2,1,3,2,2,1,1,1,1.375,3.285714,1.166667,1.38,2,1.2,2
2886,1,2,0,1,2,4,1,1,1,1,4,2,1,1,1,3,1,1,3,1,2,4,4,1,4,1,1,1,4,1,1,3,1,1,1,3.857143,1.666667,1.88,2.86,1.4,2.25
2887,1,2,1,2,1,3,2,1,1,1,3,1,1,2,2,3,1,1,1,2,1,4,3,1,3,1,1,1,3,1,1,2,1,1,1.25,3.142857,1,1.38,2.29,1.6,1.5
2888,0,2,0,2,1,2,2,2,1,1,2,1,1,1,2,3,2,1,2,2,1,3,3,2,3,1,2,1,3,1,1,2,1,2,1.75,2.714286,1.166667,1.63,2.57,1.2,1.25
2889,1,1,0,2,1,3,2,1,1,1,4,1,1,1,2,3,1,1,1,1,1,3,3,1,3,1,1,1,3,1,1,2,1,3,1.25,3.142857,1,1.25,3.43,1,1
2890,1,2,0,2,1,3,2,1,1,1,4,1,1,1,1,3,1,2,1,1,1,3,2,1,4,4,1,1,3,1,1,2,1,1,1.25,3.142857,1,1.88,2.57,1.2,1.25
2891,0,1,0,1,1,3,1,1,1,1,3,1,1,1,3,3,1,1,1,1,1,3,3,1,3,3,1,1,3,1,1,1,1,1,1.25,3,1,1.5,2.29,1.4,1.75
2892,0,2,1,2,2,3,2,1,2,1,3,2,1,1,2,4,1,1,2,1,1,3,3,2,3,1,1,1,4,2,1,1,1,2,1.375,3.285714,1.5,1.38,3,1.2,2
2893,0,2,1,3,2,2,1,1,1,1,3,2,1,1,3,2,2,2,3,2,2,2,4,2,2,1,2,1,2,2,2,2,1,2,1.75,2.428571,1.666667,2.63,2.86,1.6,2
2894,1,2,0,1,2,3,1,1,1,1,3,1,1,2,2,4,2,2,3,1,2,3,4,2,4,1,1,1,1,1,1,1,1,1,1.5,3.142857,1.5,1.75,2.86,1.6,2.25
2895,1,1,0,2,2,3,2,1,1,1,2,1,1,1,1,3,2,3,1,2,1,3,2,2,3,1,1,1,3,2,2,3,1,2,1.625,2.714286,1,1.25,3,1.2,1.5
2896,0,1,0,1,2,4,1,2,1,1,3,1,2,1,2,4,3,3,4,2,3,4,3,1,4,1,3,2,2,3,1,3,4,3,2.125,3.428571,2.5,2,2,2,2.25
2897,0,1,0,1,1,4,1,2,1,1,4,1,1,1,1,4,1,1,2,2,1,4,4,1,4,1,1,1,4,1,1,1,2,1,1.125,4,1.333333,1,3.43,1,1.25
2898,0,2,0,1,1,3,1,2,1,1,3,1,1,2,2,4,2,2,3,2,1,3,3,1,3,1,1,2,3,3,2,2,2,2,1.625,3.142857,1.5,1.88,2.29,1.8,2
2899,0,1,0,1,2,3,2,1,1,2,3,2,1,2,2,3,1,1,3,1,2,3,2,1,3,1,1,2,3,2,2,3,2,1,1.375,2.857143,1.833333,3,1.86,1.8,2.25
2900,0,2,1,2,1,2,1,1,1,1,2,1,1,1,2,3,2,2,2,1,2,3,2,2,3,1,2,1,2,2,1,2,1,1,1.625,2.428571,1.333333,2.75,2.29,1.4,2.25
2901,1,2,1,1,1,4,1,1,1,1,4,1,1,2,1,4,1,1,2,1,2,4,3,1,3,1,1,1,4,1,2,1,1,1,1,3.714286,1.333333,2.13,2.43,1.2,2
2902,0,1,0,2,1,3,2,2,2,1,3,1,1,1,2,3,1,2,3,1,2,3,3,1,3,1,2,1,3,1,1,2,2,2,1.625,3,1.833333,1.88,2.86,1.2,2
2903,1,1,0,1,1,3,1,1,2,1,3,1,1,1,2,3,2,2,3,1,2,3,3,1,3,1,1,1,2,1,2,1,2,1,1.375,2.857143,1.833333,2.13,2.29,1.2,1.75
